system,system_label,catalog,condition,question_set,n,mean_score_lenient,mean_score_strict,refusal_rate,share_score_3,share_score_0
vector_rag,Vector-RAG baseline,Qiaojia,catalog-only,interpretive (56),56,1.84,1.29,0.911,0.393,0.0
vector_rag,Vector-RAG baseline,Qiaojia,catalog-only,interpretive excluding D (36),36,1.19,0.33,0.861,0.056,0.0
vector_rag,Vector-RAG baseline,Qiaojia,catalog-only,all (100),100,1.44,0.84,0.8,0.22,0.06
vector_rag,Vector-RAG baseline,Qiaojia,catalog-only,"deterministic, category A",8,1.25,0.75,0.5,0.0,0.0
vector_rag,Vector-RAG baseline,Qiaojia,catalog-only,"deterministic, category B",20,0.85,0.05,0.8,0.0,0.15
vector_rag,Vector-RAG baseline,Qiaojia,catalog-only,"deterministic, category C",9,0.78,0.56,0.222,0.0,0.333
vector_rag,Vector-RAG baseline,Qiaojia,catalog-only,"deterministic, category E",7,1.0,0.0,1.0,0.0,0.0
vector_rag,Vector-RAG baseline,Ridgecrest,catalog-only,deterministic (44),44,0.89,0.34,0.545,0.0,0.205
vector_rag,Vector-RAG baseline,Ridgecrest,catalog-only,interpretive (56),56,1.96,1.64,0.679,0.375,0.0
vector_rag,Vector-RAG baseline,Ridgecrest,catalog-only,interpretive excluding D (36),36,1.39,0.89,0.5,0.028,0.0
vector_rag,Vector-RAG baseline,Ridgecrest,catalog-only,all (100),100,1.49,1.07,0.62,0.21,0.09
vector_rag,Vector-RAG baseline,Ridgecrest,catalog-only,"deterministic, category A",8,1.12,0.62,0.5,0.0,0.125
vector_rag,Vector-RAG baseline,Ridgecrest,catalog-only,"deterministic, category B",20,0.8,0.15,0.65,0.0,0.2
vector_rag,Vector-RAG baseline,Ridgecrest,catalog-only,"deterministic, category C",9,0.89,0.67,0.222,0.0,0.333
vector_rag,Vector-RAG baseline,Ridgecrest,catalog-only,"deterministic, category E",7,0.86,0.14,0.714,0.0,0.143
deterministic,Deterministic query (pandas/SQL over the catalog table),Qiaojia,catalog-only,deterministic (44),44,3.0,3.0,0.0,1.0,0.0
deterministic,Deterministic query (pandas/SQL over the catalog table),Qiaojia,catalog-only,interpretive (56),56,1.71,1.07,1.0,0.357,0.0
deterministic,Deterministic query (pandas/SQL over the catalog table),Qiaojia,catalog-only,interpretive excluding D (36),36,1.0,0.0,1.0,0.0,0.0
deterministic,Deterministic query (pandas/SQL over the catalog table),Qiaojia,catalog-only,all (100),100,2.28,1.92,0.56,0.64,0.0
deterministic,Rule-based graph traversal (Qiaojia only),Qiaojia,catalog-only,deterministic (44),44,3.0,3.0,0.0,1.0,0.0
deterministic,Rule-based graph traversal (Qiaojia only),Qiaojia,catalog-only,interpretive (56),56,1.71,1.07,1.0,0.357,0.0
deterministic,Rule-based graph traversal (Qiaojia only),Qiaojia,catalog-only,interpretive excluding D (36),36,1.0,0.0,1.0,0.0,0.0
deterministic,Rule-based graph traversal (Qiaojia only),Qiaojia,catalog-only,all (100),100,2.28,1.92,0.56,0.64,0.0
deterministic,Deterministic query (pandas/SQL over the catalog table),Ridgecrest,catalog-only,deterministic (44),44,3.0,3.0,0.0,1.0,0.0
deterministic,Deterministic query (pandas/SQL over the catalog table),Ridgecrest,catalog-only,interpretive (56),56,1.71,1.07,1.0,0.357,0.0
deterministic,Deterministic query (pandas/SQL over the catalog table),Ridgecrest,catalog-only,interpretive excluding D (36),36,1.0,0.0,1.0,0.0,0.0
deterministic,Deterministic query (pandas/SQL over the catalog table),Ridgecrest,catalog-only,all (100),100,2.28,1.92,0.56,0.64,0.0
deterministic,Deterministic query (pandas/SQL over the catalog table),Maduo,catalog-only,deterministic (44),44,3.0,3.0,0.0,1.0,0.0
deterministic,Deterministic query (pandas/SQL over the catalog table),Maduo,catalog-only,interpretive (56),56,1.71,1.07,1.0,0.357,0.0
deterministic,Deterministic query (pandas/SQL over the catalog table),Maduo,catalog-only,interpretive excluding D (36),36,1.0,0.0,1.0,0.0,0.0
deterministic,Deterministic query (pandas/SQL over the catalog table),Maduo,catalog-only,all (100),100,2.28,1.92,0.56,0.64,0.0
